English,Signs,Unicode Signs
Decide,d(0L-fQ&ENv,∣ᓂᨓ☓-ᗐₒO̮Ṿ¦⁼
Decorate,oS!!MJxy,О⁊ⵀⵀⴳᘕᙾᴺ
Decoration,oS!!MJxzzy,О⁊ⵀⵀⴳᘕᙾ⁷⁷ᴺ
Decrease,"h#""QLJA",⫪ⵚⴱₒ☓ᘕᐸ
Deduct,pR!b!LEs,Ж℩ⵀΠⵀ☓Ṿര
Deduction,c!b!LEsy,СⵀΠⵀ☓Ṿരᴺ
Deer,p%/1LGv,ЖȎᕂᕃ☓ᕤ⁼
Defend,s&%99SGvy,രO̮Ȏɤɤ⁊ᕤ⁼ᴺ
Defense,s&%Gvzzy,രO̮Ȏᕤ⁼⁷⁷ᴺ
Deflate,"cS$b""MoS",С⁊ⵕΠⴱⴳО⁊
Delicious 1,qP!6LGzz,ᕬ⸝ⵀ⩇☓ᕤ⁷⁷
Delicious 2,q!6LGqW,ᕬⵀ⩇☓ᕤᕬꞃ
"Demand, require",dR!b!LFvzz,∣℩ⵀΠⵀ☓ᘐ⁼⁷⁷
Denmark 1,dQ%0Ey,∣ₒȎᨓṾᴺ
Denmark 2,uP!:DEyA8,ᐯ⸝ⵀᑲᐲṾᴺᐸᑯ
Dentist,dR!6(Ly,∣℩ⵀ⩇ᓂ☓ᴺ
Depart,b%%Aav,ΠȎȎᐸറ⁼
Depend on,"d#""PLEvy",∣ⵚⴱ⸝☓Ṿ⁼ᴺ
Deposit,aP%%LIAB,റ⸝ȎȎ☓ᘖᐸᐳ
Depressed,qP!9MEv,ᕬ⸝ⵀɤⴳṾ⁼
Derive,u!!EuRv,ᐯⵀⵀṾᐯ℩⁼
Describe (d),dQ!!MGFxy,∣ₒⵀⵀⴳᕤᘐᙾᴺ
Destroy,pR!!FaLGx,Ж℩ⵀⵀᘐറ☓ᕤᙾ
Deteriorate,aP&JvyE,റ⸝O̮ᘕ⁼ᴺṾ
Diamond,"dQ!b""LJyD",∣ₒⵀΠⴱ☓ᘕᴺᐲ
Dice,a&By-a&Bp,റO̮ᐳᴺ-റO̮ᐳЖ
Dictionary,dQ!b!LFy,∣ₒⵀΠⵀ☓ᘐᴺ
Die 1,"b""JA",Πⴱᘕᐸ
Die 2,b%&JxAv,ΠȎO̮ᘕᙾᐸ⁼
Different,"d#""QLAB",∣ⵚⴱₒ☓ᐸᐳ
Dig,"bR""Qb!FLFy",Π℩ⴱₒΠⵀᘐ☓ᘐᴺ
Digressing,d((LB,∣ᓂᓂ☓ᐳ
Dinosaur,"o)b""MIy",ОᓇΠⴱⴳᘖᴺ
Dirty,"p""6MK",Жⴱ⩇ⴳ≈
Disagree,d(0L-d((LAB,∣ᓂᨓ☓-∣ᓂᓂ☓ᐸᐳ
Disappoint(ed),d(6FLzz,∣ᓂ⩇ᘐ☓⁷⁷
Disconnect,fQ**LABp,ᗐₒⴲⴲ☓ᐸᐳЖ
Discuss,d&Pb!ELy,∣O̮⸝ΠⵀṾ☓ᴺ
Disgusted,pR!9MHy,Ж℩ⵀɤⴳꕊᴺ
Dish 1,dT%%EN,∣℩⸝ȎȎṾ¦
Dish 2,cQ%%EN,СₒȎȎṾ¦
"Disobey, rebel",s%8IAzz,രȎᑯᘖᐸ⁷⁷
"Distrust, be defensive",s&8SGNv,രO̮ᑯ⁊ᕤ¦⁼
Dive,"h(""QLJE",⫪ᓂⴱₒ☓ᘕṾ
Divide,b&%LIEAB,ΠO̮Ȏ☓ᘖṾᐸᐳ
Divorce,dQ!!LIAB,∣ₒⵀⵀ☓ᘖᐸᐳ
Dizzy,pR!0Hy,Ж℩ⵀᨓꕊᴺ
Do errands,dQ&&hQHvy,∣ₒO̮O̮⫪ₒꕊ⁼ᴺ
Doctor 1,dQ!$SLy,∣ₒⵀⵕ⁊☓ᴺ
Doctor 2,fS!$SLy,ᗐ⁊ⵀⵕ⁊☓ᴺ
Doesn't matter,"b#""QFLFwy",Πⵚⴱₒᘐ☓ᘐᣛᴺ
Dog,dQ!Ngy,∣ₒⵀ¦⊃ᴺ
Doll,dR%3LEy,∣℩Ȏ⦣☓Ṿᴺ
Dollar,o*b#LAy,ОⴲΠⵚ☓ᐸᴺ
Dominos,hS!!Lvy,⫪⁊ⵀⵀ☓⁼ᴺ
Donkey,bP%/MbUy,Π⸝ȎᕂⴳΠ⁊⸝ᴺ
Don't care 1,d(3LIG,∣ᓂ⦣☓ᘖᕤ
Don't care 2,o!3LIGp,Оⵀ⦣☓ᘖᕤЖ
Don't know,b(0LIG,Πᓂᨓ☓ᘖᕤ
Don't want,pR&&Ivzz,Ж℩O̮O̮ᘖ⁼⁷⁷
Door,b%%LJAy,ΠȎȎ☓ᘕᐸᴺ
Dormatory,dQ!5LFL,∣ₒⵀᒍ☓ᘐ☓
Dotted,pT!b!LyE,Ж℩⸝ⵀΠⵀ☓ᴺṾ
"Doubt, disbelieve",u!3NuRy,ᐯⵀ⦣¦ᐯ℩ᴺ
"Doubt, have reservations or misgivings about",s!Ewy,രⵀṾᣛᴺ
Down,d(E;S,∣ᓂṾᕟ⁊
"Drama, play",aP%8:LEGwy,റ⸝Ȏᑯᑲ☓Ṿᕤᣛᴺ
Draw,i(b!CE,ҺᓂΠⵀⵢṾ
Drawer,s&&;S=SFvy,രO̮O̮ᕟ⁊ᕞ⁊ᘐ⁼ᴺ
Dream,d(0LKG,∣ᓂᨓ☓≈ᕤ
Dressing,iP%b!Hy,Һ⸝ȎΠⵀꕊᴺ
Drill (v),dP(b+ME,∣⸝ᓂΠ◷ⴳṾ
Drill (n),dP(b+MEy,∣⸝ᓂΠ◷ⴳṾᴺ
Drink (v),cQ$6MI,Сₒⵕ⩇ⴳᘖ
Drink (n),cQ%6MIy,СₒȎ⩇ⴳᘖᴺ
Drip,n(d%LEy,ቨᓂ∣Ȏ☓Ṿᴺ
Drive,s&EDwy,രO̮Ṿᐲᣛᴺ
Drive a screw,h(b!MJ,⫪ᓂΠⵀⴳᘕ
Drop,s!;S=SEpv,രⵀᕟ⁊ᕞ⁊ṾЖ⁼
Drop jaw,"uR!6LJ""E",ᐯ℩ⵀ⩇☓ᘕⴱṾ
Dropper,g!NVoQy,⊃ⵀ¦ʟОₒᴺ
Dry,d%6MAdR,∣Ȏ⩇ⴳᐸ∣℩
Dryer,d%6MAdRy,∣Ȏ⩇ⴳᐸ∣℩ᴺ
Duck,"hZ""6MhQy",⫪⊥ⴱ⩇ⴳ⫪ₒᴺ
Dutch,iP%3LEG,Һ⸝Ȏ⦣☓Ṿᕤ
"Each, every",aP($LEy,റ⸝ᓂⵕ☓Ṿᴺ
Early,"qP!b""LDG",ᕬ⸝ⵀΠⴱ☓ᐲᕤ
Early morning,b)R&;MGN,Πᓇ℩O̮ᕟⴳᕤ¦
Earmuffs,b!24Lvy,Πⵀᖌᖍ☓⁼ᴺ
Earn,pR&b!BFsL,Ж℩O̮Πⵀᐳᘐര☓
Earring (clip-on),hP!24MhQy,⫪⸝ⵀᖌᖍⴳ⫪ₒᴺ
Earrings,dT!24MoQy,∣℩⸝ⵀᖌᖍⴳОₒᴺ
Earth,"q*s""MJy",ᕬⴲരⴱⴳᘕᴺ
East,e&AN,ΩO̮ᐸ¦
Easter,e&/S1SIvy,ΩO̮ᕂ⁊ᕃ⁊ᘖ⁼ᴺ
Easy,"b#""QLDy",Πⵚⴱₒ☓ᐲᴺ
Eat 1,oS!6L,О⁊ⵀ⩇☓
Eat 2,oS!6FL,О⁊ⵀ⩇ᘐ☓
Eat 3,oS!6Ly,О⁊ⵀ⩇☓ᴺ
Echo,d(b!BLG,∣ᓂΠⵀᐳ☓ᕤ
Eek!!,e%6LGABkN,ΩȎ⩇☓ᕤᐸᐳ७¦
Egg,h&P%PLIvy,⫪O̮⸝Ȏ⸝☓ᘖ⁼ᴺ
Egypt,"dR""0Ly",∣℩ⴱᨓ☓ᴺ
Elaborate,pR%%HxyD,Ж℩ȎȎꕊᙾᴺᐲ
Elbow,d()Ly,∣ᓂᓇ☓ᴺ
Electric(ity),dR((BALy,∣℩ᓂᓂᐳᐸ☓ᴺ
Electric outlet,u++GLy,ᐯ◷◷ᕤ☓ᴺ
Elephant,"b""3L-b(GEG",Πⴱ⦣☓-ΠᓂᕤṾᕤ
Elevator,e%d%MDy,ΩȎ∣Ȏⴳᐲᴺ
Embarrassed,p!57FDwy,Жⵀᒍᒐᘐᐲᣛᴺ
Emergency,e&Ay,ΩO̮ᐸᴺ
Emphasize,aP%b!MJ,റ⸝ȎΠⵀⴳᘕ
Empty,"qP!b""LG",ᕬ⸝ⵀΠⴱ☓ᕤ
"Empty, all gone",c&b!MGs,СO̮Πⵀⴳᕤര
Encourage,b$$GDvy,Πⵕⵕᕤᐲ⁼ᴺ
England,"bR!""LFvy",Π℩ⵀⴱ☓ᘐ⁼ᴺ
Enjoy,b!9<MHxy,ΠⵀɤЭⴳꕊᙾᴺ
Enter,"b""!MG",Πⴱⵀⴳᕤ
Enthusiastic,b!!MGFxy,Πⵀⵀⴳᕤᘐᙾᴺ
Envisage,s&%0LABc,രO̮Ȏᨓ☓ᐸᐳС
Equipment,"e""EyA",ΩⴱṾᴺᐸ
-Er 1,b$;=MEv,ΠⵕᕟᕞⴳṾ⁼
-Er 2,b&;S=SEv,ΠO̮ᕟ⁊ᕞ⁊Ṿ⁼
Erase,s&b!MFGy,രO̮Πⵀⴳᘐᕤᴺ
Eraser,s&b!MFGzzy,രO̮Πⵀⴳᘐᕤ⁷⁷ᴺ
Escape,d(b+LG,∣ᓂΠ◷☓ᕤ
Establish,"aP&s""JEL",റ⸝O̮രⴱᘕṾ☓
Europe,e!0HL,Ωⵀᨓꕊ☓
Every afternoon,b)%MA,ΠᓇȎⴳᐸ
Every day,a!5LGy,റⵀᒍ☓ᕤᴺ
Every Friday,"fQ""E",ᗐₒⴱṾ
"Every hour, hourly",d!b!MHy,∣ⵀΠⵀⴳꕊᴺ
Every Monday 1,"mS""E",爪⁊ⴱṾ
Every Monday 2,"mR""E",爪℩ⴱṾ
Every month,"d""Q""QMEy",∣ⴱₒⴱₒⴳṾᴺ
"Every month, monthly",d(S(SMEy,∣ᓂ⁊ᓂ⁊ⴳṾᴺ
Every morning,b)R&MA,Πᓇ℩O̮ⴳᐸ
Every night,bS$%MA,Π⁊ⵕȎⴳᐸ
Every Saturday,"s""E",രⴱṾ
Every Sunday,b%%/S1SEv,ΠȎȎᕂ⁊ᕃ⁊Ṿ⁼
Every Thursday 1,h&E,⫪O̮Ṿ
Every Thursday 2,t!NhyE,൪ⵀ¦⫪ᴺṾ
Every Tuesday,"t""E",൪ⴱṾ
Every Wednesday,"f""E",ᗐⴱṾ
"Every week, weekly",d!b!MAy,∣ⵀΠⵀⴳᐸᴺ
"Every year, yearly",s&%LGdy,രO̮Ȏ☓ᕤ∣ᴺ
Exact(ly),oQ!!HL,Оₒⵀⵀꕊ☓
Exchange,aQ((FEGx,റₒᓂᓂᘐṾᕤᙾ
"Excite, thrill",qP!8:LIDvzz,ᕬ⸝ⵀᑯᑲ☓ᘖᐲ⁼⁷⁷
Excited,qP!9LDwy,ᕬ⸝ⵀɤ☓ᐲᣛᴺ
Excuse (v),b#!LGy,Πⵚⵀ☓ᕤᴺ
Excuse (n),b$!LGzzy,Πⵕⵀ☓ᕤ⁷⁷ᴺ
Excuse me,bS#b!LGy,Π⁊ⵚΠⵀ☓ᕤᴺ
Exercise (v),s%8:DABy,രȎᑯᑲᐲᐸᐳᴺ
Exercise (n),s%8:DABzzy,രȎᑯᑲᐲᐸᐳ⁷⁷ᴺ
Exit,"p""c*LGo",ЖⴱСⴲ☓ᕤО
Expect,d(0L-b%5S:SNbSvy,∣ᓂᨓ☓-ΠȎᒍ⁊ᑲ⁊¦Π⁊⁼ᴺ
Experience,pS!5LEoy,Ж⁊ⵀᒍ☓ṾОᴺ
Explain (f),fQ!!MGFxy,ᗐₒⵀⵀⴳᕤᘐᙾᴺ
Explode,s&%LABpS,രO̮Ȏ☓ᐸᐳЖ⁊
Eye,d(2QLy,∣ᓂᖌₒ☓ᴺ
Eye lashes,n%2Q4QLGD,ቨȎᖌₒᖍₒ☓ᕤᐲ
Eyebrow,g!0MA,⊃ⵀᨓⴳᐸ
Eyeglasses,g%2Q4QMABoQvy,⊃ȎᖌₒᖍₒⴳᐸᐳОₒ⁼ᴺ
Eyes,d(2QLB4QL,∣ᓂᖌₒ☓ᐳᖍₒ☓
Face (v),b!!9S9PGxDv,Πⵀⵀɤ⁊ɤ⸝ᕤᙾᐲ⁼
Face (n),d(3H,∣ᓂ⦣ꕊ
Face-down (cl),b!NV,Πⵀ¦ʟ
Fail,"u""b!LG",ᐯⴱΠⵀ☓ᕤ
Fake 1,d%3BLB,∣Ȏ⦣ᐳ☓ᐳ
Fake 2,d%6BLB,∣Ȏ⩇ᐳ☓ᐳ
"Fall, autumn",b%s)MEy,ΠȎരᓇⴳṾᴺ
Fall,u(b!LJE,ᐯᓂΠⵀ☓ᘕṾ
Fall asleep 1,bR&%JEL,Π℩O̮ȎᘕṾ☓
Fall asleep 2,pR%3N-a!!L,Ж℩Ȏ⦣¦-റⵀⵀ☓
Fall down flat,b$(GJ!ENzz,ΠⵕᓂᕤᘕⵀṾ¦⁷⁷
Fall in love,d(3L-d!b!LG,∣ᓂ⦣☓-∣ⵀΠⵀ☓ᕤ
Fall out,"k""/1JGwy",७ⴱᕂᕃᘕᕤᣛᴺ
Family,fQ%%LJLv,ᗐₒȎȎ☓ᘕ☓⁼
Famous,d(57LHAB,∣ᓂᒍᒐ☓ꕊᐸᐳ
Far,a!!LDGzz,റⵀⵀ☓ᐲᕤ⁷⁷
Farmer,p%6MAy,ЖȎ⩇ⴳᐸᴺ
Fast,dP($FdTzzv,∣⸝ᓂⵕᘐ∣℩⸝⁷⁷⁼
Fat,pR!57ABzN,Ж℩ⵀᒍᒐᐸᐳ⁷¦
Father,p%0Ly,ЖȎᨓ☓ᴺ
Faucet,pR!J&zzy,Ж℩ⵀᘕO̮⁷⁷ᴺ
"Fear, be afraid",p!9<Bxy,ЖⵀɤЭᐳᙾᴺ
Feed,oS!6L-oS&&Gvy,О⁊ⵀ⩇☓-О⁊O̮O̮ᕤ⁼ᴺ
Feel,qP!9LDy,ᕬ⸝ⵀɤ☓ᐲᴺ
Fence,n((LAB,ቨᓂᓂ☓ᐸᐳ
Few 1,a%An,റȎᐸቨ
Few 2,a%J%n,റȎᘕȎቨ
Fight,s&%BLBxy,രO̮Ȏᐳ☓ᐳᙾᴺ
Figure,a%%AByE,റȎȎᐸᐳᴺṾ
Figure out,k&%MBxy,७O̮Ȏⴳᐳᙾᴺ
File,h#(MGFy,⫪ⵚᓂⴳᕤᘐᴺ
File nails,h#d(MGFzzy,⫪ⵚ∣ᓂⴳᕤᘐ⁷⁷ᴺ
Fill,p!s%BMB,ЖⵀരȎᐳⴳᐳ
Fill with gas,aP%s%J%L,റ⸝ȎരȎᘕȎ☓
Film,fQ$b!MJ&y,ᗐₒⵕΠⵀⴳᘕO̮ᴺ
Filthy,"s""6Mpzz",രⴱ⩇ⴳЖ⁷⁷
Find 1,"p""DfQ",Жⴱᐲᗐₒ
Find 2,gXDfQ,⊃ѵᐲᗐₒ
Fine,p%9LGy,ЖȎɤ☓ᕤᴺ
Finger,d(p#MA,∣ᓂЖⵚⴳᐸ
Fingernail clipper,aP(p(NsQy,റ⸝ᓂЖᓂ¦രₒᴺ
Fingerspell,p&KAy,ЖO̮≈ᐸᴺ
Finish,p&Izzv,ЖO̮ᘖ⁷⁷⁼
Finland,dR!6Ly,∣℩ⵀ⩇☓ᴺ
Fire 1,"b""Qs%FLF",ΠⴱₒരȎᘐ☓ᘐ
Fire 2,pS&&KDv,Ж⁊O̮O̮≈ᐲ⁼
Fireman,"b""S0Ly",Πⴱ⁊ᨓ☓ᴺ
Fireplace,p(KDGwy,Жᓂ≈ᐲᕤᣛᴺ
Fireworks,d(8PD/P-s%&AB-d%%LDwy,∣ᓂᑯ⸝ᐲᕂ⸝-രȎO̮ᐸᐳ-∣ȎȎ☓ᐲᣛᴺ
First,d#aP#JL,∣ⵚറ⸝ⵚᘕ☓
Fish (v),a&%J%vy,റO̮ȎᘕȎ⁼ᴺ
Fish (n),b$(LJ!G,Πⵕᓂ☓ᘕⵀᕤ
Fit,pR++GL,Ж℩◷◷ᕤ☓
Fix,fQ!JdRzz,ᗐₒⵀᘕ∣℩⁷⁷
Flat,b%&LG,ΠȎO̮☓ᕤ
Flat tire,"cS$b""MoS",С⁊ⵕΠⴱⴳО⁊
Flavor,qP!6Ly,ᕬ⸝ⵀ⩇☓ᴺ
Flexible,"oS*b#LJ""vy",О⁊ⴲΠⵚ☓ᘕⴱ⁼ᴺ
Flirt,p%%LKGvy,ЖȎȎ☓≈ᕤ⁼ᴺ
Floor,b%%LAB,ΠȎȎ☓ᐸᐳ
Flounder,p%%DEwy,ЖȎȎᐲṾᣛᴺ
Flower,o!3LJBL,Оⵀ⦣☓ᘕᐳ☓
Flunk,fQ%b!BL,ᗐₒȎΠⵀᐳ☓
Fly,jP(DG5SN,Ч⸝ᓂᐲᕤᒍ⁊¦
Fly a kite,aQ&9S1SEvy,റₒO̮ɤ⁊ᕃ⁊Ṿ⁼ᴺ
Fold over,b&&MI!!L,ΠO̮O̮ⴳᘖⵀⵀ☓
Folder,g*b&MD,⊃ⴲΠO̮ⴳᐲ
Follow,aP($LGv,റ⸝ᓂⵕ☓ᕤ⁼
Food,oS!6Ly,О⁊ⵀ⩇☓ᴺ
Fool (v),a!d%PGL,റⵀ∣Ȏ⸝ᕤ☓
Foolish,iP%3J!B,Һ⸝Ȏ⦣ᘕⵀᐳ
Football,p++BAy,Ж◷◷ᐳᐸᴺ
For,d(0LJG,∣ᓂᨓ☓ᘕᕤ
Forbid,iP!b!BLzz,Һ⸝ⵀΠⵀᐳ☓⁷⁷
Forehead,d(0MH,∣ᓂᨓⴳꕊ
Forever,d(/LGH-iP(G,∣ᓂᕂ☓ᕤꕊ-Һ⸝ᓂᕤ
Forget,b#0LAaP,Πⵚᨓ☓ᐸറ⸝
Formula,fQ%b!LEL,ᗐₒȎΠⵀ☓Ṿ☓
Fox,fQ%3MJ!y,ᗐₒȎ⦣ⴳᘕⵀᴺ
Frame 1,g%%LABNENBAL,⊃ȎȎ☓ᐸᐳ¦Ṿ¦ᐳᐸ☓
Frame 2,gX%%LABNENBAL,⊃ѵȎȎ☓ᐸᐳ¦Ṿ¦ᐳᐸ☓
Frame 3,fQ%%LABNENBAL,ᗐₒȎȎ☓ᐸᐳ¦Ṿ¦ᐳᐸ☓
France,"fQ""JD",ᗐₒⴱᘕᐲ
Freckles,pR!57LvyE,Ж℩ⵀᒍᒐ☓⁼ᴺṾ
Free,"fQ""S$SLIAB",ᗐₒⴱ⁊ⵕ⁊☓ᘖᐸᐳ
Freeze,p%%GpRzzv,ЖȎȎᕤЖ℩⁷⁷⁼
French,"fQ""Iy",ᗐₒⴱᘖᴺ
French fries,fQ!ENAEN,ᗐₒⵀṾ¦ᐸṾ¦
Frequent [person],b(d%GLy,Πᓂ∣Ȏᕤ☓ᴺ
Frequent [place],b(%GLy,ΠᓂȎᕤ☓ᴺ
Friday,"fQ""Hy",ᗐₒⴱꕊᴺ
Friend,dR##LJxL,∣℩ⵚⵚ☓ᘕᙾ☓
Friendly,p(57KAB,Жᓂᒍᒐ≈ᐸᐳ
Frog,"s""6Mhy",രⴱ⩇ⴳ⫪ᴺ
From 1,d((LJ%FdR,∣ᓂᓂ☓ᘕȎᘐ∣℩
From 2,dR(d%PLJ%F,∣℩ᓂ∣Ȏ⸝☓ᘕȎᘐ
Front,b!0E9N,ΠⵀᨓṾɤ¦
Front (cl),b!NS,Πⵀ¦⁊
Fruit,fQ!5MHy,ᗐₒⵀᒍⴳꕊᴺ
Frustrated,"b""6FLzz",Πⴱ⩇ᘐ☓⁷⁷
Full,p!s%BMB,ЖⵀരȎᐳⴳᐳ
Full (stomach),"b""6DL",Πⴱ⩇ᐲ☓
Full skirt,b$;=AExy,ΠⵕᕟᕞᐸṾᙾᴺ
Fun,"h#3L-h#""QL",⫪ⵚ⦣☓-⫪ⵚⴱₒ☓
Funny,h#3LEy,⫪ⵚ⦣☓Ṿᴺ
Furniture,fQ&Cy,ᗐₒO̮ⵢᴺ
Future,bP%5LGENGE,Π⸝Ȏᒍ☓ᕤṾ¦ᕤṾ
Gallop,u%%EFuRvy,ᐯȎȎṾᘐᐯ℩⁼ᴺ
Game,aP((BALy,റ⸝ᓂᓂᐳᐸ☓ᴺ
Garage,uP%b!Gy,ᐯ⸝ȎΠⵀᕤᴺ
Gasoline 1,aP%s%Ly,റ⸝ȎരȎ☓ᴺ
Gasoline 2,aP%s%ELy,റ⸝ȎരȎṾ☓ᴺ
Germany,p&%MKvy,ЖO̮Ȏⴳ≈⁼ᴺ
Gesture,p!!GEwy,ЖⵀⵀᕤṾᣛᴺ
Get,pR&%FsLv,Ж℩O̮Ȏᘐര☓⁼
Get along,bS((Gv,Π⁊ᓂᓂᕤ⁼
Get in,hR#c%IL,⫪℩ⵚСȎᘖ☓
Get out 1,hR#c%LA,⫪℩ⵚСȎ☓ᐸ
Get out 2,hR#c%LIA,⫪℩ⵚСȎ☓ᘖᐸ
Get sick 1,qP!0FL,ᕬ⸝ⵀᨓᘐ☓
Get sick 2,qP!09FLv,ᕬ⸝ⵀᨓɤᘐ☓⁼
Giraffe,c!9(LDG,Сⵀɤᓂ☓ᐲᕤ
Girl,aP%5LGy,റ⸝Ȏᒍ☓ᕤᴺ
Give,"oS""J""G",О⁊ⴱᘕⴱᕤ
Give out,oS%GyAB,О⁊Ȏᕤᴺᐸᐳ
Give turn to,"dP""JA",∣⸝ⴱᘕᐸ
Give up,h!8SNJ!kv,⫪ⵀᑯ⁊¦ᘕⵀ७⁼
Gloves,"p#""LFy",Жⵚⴱ☓ᘐᴺ
Glue,iP%b!MGy,Һ⸝ȎΠⵀⴳᕤᴺ
Go,d!J!G,∣ⵀᘕⵀᕤ
Go away,"b""GJ""",Πⴱᕤᘕⴱ
Go by ship,uP(8SG,ᐯ⸝ᓂᑯ⁊ᕤ
Go out,"p""/GoS",ЖⴱᕂᕤО⁊
Go over,b&%DJ&GE,ΠO̮ȎᐲᘕO̮ᕤṾ
Go to bed,h(o*QGMG,⫪ᓂОⴲₒᕤⴳᕤ
Goal,d(0L-d(%PGvy,∣ᓂᨓ☓-∣ᓂȎ⸝ᕤ⁼ᴺ
God,b%0SJ%E,ΠȎᨓ⁊ᘕȎṾ
Gold,jP(2L-iP&Iy,Ч⸝ᓂᖌ☓-Һ⸝O̮ᘖᴺ
Good,b#6LGN,Πⵚ⩇☓ᕤ¦
Goose,"hZ""6L-hQ!)PLy",⫪⊥ⴱ⩇☓-⫪ₒⵀᓇ⸝☓ᴺ
Gorilla,a!8:FLwy,റⵀᑯᑲᘐ☓ᣛᴺ
Gossip,g%6Lv-g!!oQvyH,⊃Ȏ⩇☓⁼-⊃ⵀⵀОₒ⁼ᴺꕊ
Government 1,d(/JdRBdL,∣ᓂᕂᘕ∣℩ᐳ∣☓
Government 2,d(/HL,∣ᓂᕂꕊ☓
Grab,c&GEFszz,СO̮ᕤṾᘐര⁷⁷
Graduate,g&b!HL,⊃O̮Πⵀꕊ☓
Grandfather,p%0LGENGE,ЖȎᨓ☓ᕤṾ¦ᕤṾ
Grandmother,p%6LGENGE,ЖȎ⩇☓ᕤṾ¦ᕤṾ
Grape,fQ!6LIy,ᗐₒⵀ⩇☓ᘖᴺ
Grass,pR$6LGEy,Ж℩ⵕ⩇☓ᕤṾᴺ
Gravy,q*b&LEy,ᕬⴲΠO̮☓Ṿᴺ
Gray,p((GLGwy,Жᓂᓂᕤ☓ᕤᣛᴺ
Greece,g%3LEy,⊃Ȏ⦣☓Ṿᴺ
Green,g&Iy,⊃O̮ᘖᴺ
Group 1,pR%%JGv,Ж℩ȎȎᘕᕤ⁼
Group 2,pR%%LJLv,Ж℩ȎȎ☓ᘕ☓⁼
Group 3,c%%LJLv,СȎȎ☓ᘕ☓⁼
Group 4,g%%LJLv,⊃ȎȎ☓ᘕ☓⁼
Guess,c%0BEs,СȎᨓᐳṾര
Gum,h(5MhRy,⫪ᓂᒍⴳ⫪℩ᴺ
Gush,f%6L-s!b!DBb,ᗐȎ⩇☓-രⵀΠⵀᐲᐳΠ
Gym,oQ!8:Hvy,Оₒⵀᑯᑲꕊ⁼ᴺ
Hair,fQ*/MGy,ᗐₒⴲᕂⴳᕤᴺ
Half-time,b%n+BL,ΠȎቨ◷ᐳ☓
Hamburger,c**LJxL,Сⴲⴲ☓ᘕᙾ☓
Hammer,aQ(%ENy,റₒᓂȎṾ¦ᴺ
Hand,"b""!MFw",Πⴱⵀⴳᘐᣛ
Hand down,oS!!:GEyG,О⁊ⵀⵀᑲᕤṾᴺᕤ
Handsome,d(3H-b!!MG,∣ᓂ⦣ꕊ-Πⵀⵀⴳᕤ
Hang a person,s%8(LDAN,രȎᑯᓂ☓ᐲᐸ¦
Hang a picture,dR#d(SEL,∣℩ⵚ∣ᓂ⁊Ṿ☓
Happy,b!9LDy,Πⵀɤ☓ᐲᴺ
Hard,uR&%ELzz,ᐯ℩O̮ȎṾ☓⁷⁷
Hard of hearing,h&ENAE,⫪O̮Ṿ¦ᐸṾ
Hat,b#0(ELy,ΠⵚᨓᓂṾ☓ᴺ
Hatch,h&P%PLIEv,⫪O̮⸝Ȏ⸝☓ᘖṾ⁼
Hate,q(GqPzzv,ᕬᓂᕤᕬ⸝⁷⁷⁼
Have,bU!9Lv,Π⁊⸝ⵀɤ☓⁼
Have an accident,p((BAsLzz,Жᓂᓂᐳᐸര☓⁷⁷
Head 1,bS!/LE6L,Π⁊ⵀᕂ☓Ṿ⩇☓
Head 2,bS!5LEL,Π⁊ⵀᒍ☓Ṿ☓
Head cold,aQ*3LGy,റₒⴲ⦣☓ᕤᴺ
Headache,dS!!0BAy,∣⁊ⵀⵀᨓᐳᐸᴺ
Healthy,pR!8:LGsv,Ж℩ⵀᑯᑲ☓ᕤര⁼
Hear,d#2BL,∣ⵚᖌᐳ☓
Hearing,d#6LDGy,∣ⵚ⩇☓ᐲᕤᴺ
Heart,qP!:HL,ᕬ⸝ⵀᑲꕊ☓
Heaven,bS!!Hw-ABN,Π⁊ⵀⵀꕊᣛ-ᐸᐳ¦
Heavy,"bR""Evz",Π℩ⴱṾ⁼⁷
Hebrew,pS#6LEoSy,Ж⁊ⵚ⩇☓ṾО⁊ᴺ
Height,d%P0ELy,∣Ȏ⸝ᨓṾ☓ᴺ
Helicopter,p!uP%MJy,Жⵀᐯ⸝Ȏⴳᘕᴺ
Hell,"h"":SA;S",⫪ⴱᑲ⁊ᐸᕟ⁊
Help,aP&b!LDv,റ⸝O̮Πⵀ☓ᐲ⁼
Hen,uP%6Ly,ᐯ⸝Ȏ⩇☓ᴺ
Here,b&&BAy,ΠO̮O̮ᐳᐸᴺ
Hide,a%6L-a%c*L,റȎ⩇☓-റȎСⴲ☓
High,h%D,⫪Ȏᐲ
Hike,dR!8:FLvy,∣℩ⵀᑯᑲᘐ☓⁼ᴺ
Himself (herself),aP(8SGy,റ⸝ᓂᑯ⁊ᕤᴺ
Hip,bS!;Ly,Π⁊ⵀᕟ☓ᴺ
"His, her, its",b!8PGN,Πⵀᑯ⸝ᕤ¦
Hit,d##BLB,∣ⵚⵚᐳ☓ᐳ
Hold,s&Hzzy,രO̮ꕊ⁷⁷ᴺ
Hold back,c&9MEs,СO̮ɤⴳṾര
Hold cylinder (cl),c!NS,Сⵀ¦⁊
Holland 1,iP%3LEG,Һ⸝Ȏ⦣☓Ṿᕤ
Holland 2,pS!/1ABoS,Ж⁊ⵀᕂᕃᐸᐳО⁊
